ID,CITY,COUN,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUS,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,MYKEY,Field3,Field2,Field1,SIT,STATE
101023,1,10,23,2,26,2,2,8,1,7,3,2,3,3,4,0,0,2,-1,0,0,0,1,1,1,3,3,3,3,1,2,1,0,3,0,1010233,3,3,anger,When I was robbed in a bus.,1
101022,1,10,22,2,19,2,2,5,7,3,3,4,4,3,2,1,2,2,0,0,1,0,3,1,1,3,0,3,0,1,3,1,1,0,2,1010223,4,3,anger,"When my mother slapped me in the face, I felt anger at that moment.",1
271023,1,27,23,1,25,1,1,8,8,8,3,4,2,3,2,0,0,0,1,0,0,0,1,1,1,3,0,3,2,5,3,3,1,0,0,2710233,2,3,anger,"Somebody wanted to beat my brother at a wedding ceremony and I was trying to protect my brother but the other man was calling names to both of us.",1
261053,1,26,53,1,20,4,1,7,1,1,3,3,1,3,0,0,0,3,0,0,0,1,1,1,1,3,1,2,2,5,0,2,2,3,0,2610533,1,3,anger,"Once I had an argument with my friends and I knew that I was right.  My friends went on arguing with me even though they did not know the right thing.",1
101048,1,10,48,2,20,2,2,2,1,3,3,4,3,3,4,1,0,5,0,0,1,0,2,1,2,3,0,2,3,0,0,0,0,3,2,1010483,3,3,anger,When I had a serious argument with a dear person.,1
122017,2,12,17,2,20,8,2,7,7,6,3,3,4,4,4,2,2,1,-1,0,0,0,0,1,2,3,2,3,3,5,3,3,3,2,2,1220173,4,4,anger,"A chief was unjustly punished on an autumn brigade and the one who was really guilty kept silent. I stepped in front and told the truth. The guilty chief called me in after the roll-call and threatened me.",1
101057,1,10,57,1,19,2,2,2,1,3,3,3,4,3,0,1,0,0,-1,0,0,0,0,1,1,3,1,1,0,4,0,0,2,1,1,1010573,4,3,anger,"When I left after the examination to enter the University, and even though I had studied the whole year I made a bad exam.",1
261041,1,26,41,1,27,1,1,9,7,1,3,3,3,3,0,0,2,1,0,0,0,0,1,1,2,3,2,2,3,3,3,3,3,0,0,2610413,3,3,anger,"When I was doing research a few months ago, I had asked the Institute to sponsor me for a computer course which was held in TISS.  However, because of the administrative officer I could not get the money.",1
101055,1,10,55,2,18,8,0,7,8,9,3,3,4,4,2,0,0,0,0,0,0,0,1,3,1,3,3,3,2,5,3,2,1,3,0,1010553,4,4,anger,"I was on a farm with a few friends and during the talk I discovered that a friend of mine, was being betrayed by her boyfriend and a 3rd friend of ours.",1
101054,1,10,54,2,25,2,2,2,7,7,3,4,4,4,0,1,0,1,0,1,0,0,0,3,1,3,0,3,2,2,3,3,2,0,1,1010543,4,4,anger,"I felt anger against a person who told bad things about me in my absence.",1
261042,1,26,42,1,21,4,2,7,1,1,3,4,4,4,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,1,0,3,1,0,0,2610423,4,4,anger,"[ On discovering the red-tapism and the bureaucratic, corrupt, decadent, degenerated infrastucture of every public utility, office and service; and the rampant corruption at every single level of education and other institutions.]",1
101053,1,10,53,2,20,7,2,7,8,3,3,2,4,4,0,1,0,0,0,0,0,0,0,3,1,3,0,3,3,4,1,2,1,0,1,1010533,4,4,anger,"When a colleague was rude with me because she didn't understand the subject about which I was discussing.",1
101052,1,10,52,1,18,2,2,6,7,9,3,3,4,2,1,0,0,1,0,0,0,1,0,1,1,3,1,2,4,3,0,0,1,1,0,1010523,4,2,anger,"I felt much anger when my fahter interferred in my relations with another person whom I liked very much, ending something that I adored.",1
261043,1,26,43,1,23,4,1,7,1,1,3,3,2,2,0,0,1,2,0,0,0,0,0,1,1,3,3,2,3,3,1,2,3,0,0,2610433,2,2,anger,"I felt angry when repeated pleas to the ticket collector and the co-passengers in order to make a queue fell on deaf ears.  I have this feeling whenever someone is not disciplined and methodic in doing his duty.",1
101051,1,10,51,2,18,2,2,8,8,2,3,2,2,3,3,0,0,4,1,0,1,1,2,2,0,3,1,3,3,2,3,3,0,3,1,1010513,2,3,anger,"And she said absurd things, false things that filled my ears and inflated my head which seemed to be caught in a carcass where the heart wanted to explode and where the arm wanted to knock down the world.",1
261049,1,26,49,1,20,4,1,7,1,1,3,2,4,3,1,0,0,1,0,0,1,0,1,3,1,3,2,3,2,1,3,2,1,0,1,2610493,4,3,anger,"This was the worst incident of my hostel life.  I was insulted by a close friend of mine on the eve of the New year and it totally spoiled my New year's night.",1
101049,1,10,49,2,29,2,0,6,6,6,3,3,4,3,1,1,0,2,0,0,1,0,1,2,2,3,0,3,2,5,2,2,2,3,2,1010493,4,3,anger,"Discussion with my mother about the way to educate my children. I felt anger against my mother.",1
101041,1,10,41,2,18,2,1,6,1,9,3,2,3,3,2,0,0,1,0,0,0,1,1,1,0,3,3,3,2,1,1,0,2,3,0,1010413,3,3,anger,"When my sister took something that belonged to me without my permission.",1
261045,1,26,45,1,23,1,1,2,2,1,3,2,1,3,1,0,2,2,-1,0,0,0,0,1,3,3,1,3,3,5,1,3,1,3,0,2610453,1,3,anger,"I had made an error in planning a programme and had publicly accepted the mistake, despite repeated requests not to bring the matter for discussion a professor kept constantly passing remarks. I reacted angrily.�",1
101047,1,10,47,2,19,1,1,7,1,2,3,1,2,3,1,0,2,1,0,0,0,0,1,1,3,3,0,3,2,1,1,2,1,0,0,1010473,2,3,anger,"My grandmother is a highly authoritative person, who lives alone, is independent, but doesn't know to live without commanding the others. I hate this!",1
101046,1,10,46,2,19,1,2,2,1,5,3,1,4,3,1,1,0,3,0,0,0,0,0,1,1,3,0,2,2,1,2,0,0,0,1,1010463,4,3,anger,"When my brother went out with my new shirt that I adored, and returned it dirty with grease.",1
261046,1,26,46,1,29,4,1,7,1,1,3,1,1,2,1,0,0,1,0,0,0,0,0,2,2,3,0,3,2,4,2,0,2,2,0,2610463,1,2,anger,"A few days back a friend of mine poked me in the ribs for fun's sake, though I had warned him an infinite number of times that it really hurts me, he did it again.  I usually ignore this but this time I flared up for a split second and threatened to bash him up.  This is the latest incident when I lost my temper, though I felt very bad about it later.",1
101045,1,10,45,2,18,2,1,7,1,2,3,1,4,4,0,1,0,0,1,0,0,0,0,2,1,3,3,3,0,3,3,1,1,1,1,1010453,4,4,anger,"A ex-boyfriend tried to prejudice me before my fiancT and his family saying things about me that let his family worried. We had to postpone our wedding and we were already using our wedding rings. To be honest I didn't feel just anger, I felt hate.",1
261047,1,26,47,1,20,4,1,7,1,1,3,4,3,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,1,2,2,0,0,2610473,3,2,anger,When I was punished in school for no serious mistake of mine.,1
101044,1,10,44,2,22,2,1,6,1,3,3,3,3,2,1,1,0,1,0,0,0,0,0,2,1,3,0,3,3,1,3,1,0,0,1,1010443,3,2,anger,"Without the employer's knowledge and even without any communication their bank accounts were changed and their personal accounts closed.",1
101043,1,10,43,1,21,2,2,7,1,5,3,3,4,3,2,2,0,2,-1,0,1,1,1,1,1,3,2,3,2,1,0,3,3,3,3,1010433,4,3,anger,"I felt much anger and perhaps I feel it till now, against my girlfriend's sister who incited her to betray me just when I needed her very much. She didn't think of anything, simply passed over everything.",1
261048,1,26,48,1,22,4,2,4,4,1,3,3,3,4,1,0,0,0,-1,0,0,0,0,1,1,0,2,0,1,2,2,3,1,1,0,2610483,3,4,anger,"One day my room-mate started imitating me, doing what I had done a few hours back.  I got very angry and started beating him up.",1
101020,1,10,20,2,31,2,2,2,1,3,3,3,4,3,3,1,2,2,0,0,0,0,2,1,2,3,2,3,3,5,2,0,1,3,1,1010203,4,3,anger,"Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.",1
261044,1,26,44,1,28,4,1,2,1,1,3,4,3,2,0,0,2,0,0,0,0,0,0,0,0,3,2,3,3,5,3,0,0,2,0,2610443,3,2,anger,"I was travelling from Delhi to Bombay.  I had booked a seat one month back and I had also got a telegram confirming this.  However, in the train my name had been omitted from the reservation sheet, and the one seat that was still vacant was alloted to another person who paid for it despite my requests for the seat.  I was allowed to stay in the reserved compartment when I paid money.",1
91124,1,9,124,2,18,1,2,5,7,3,3,3,4,4,1,0,0,5,0,0,1,1,3,2,1,3,0,3,2,3,1,1,1,1,1,0911243,4,4,anger,"When my brothers were being cruel to my boyfriend, because his flat-mate bent back one of my brother's fingers. It wasn't his fault.",1
101021,1,10,21,2,23,2,2,8,6,3,3,3,4,2,2,1,0,1,-1,0,0,0,1,3,1,3,3,3,3,3,3,2,2,1,1,1010213,4,2,anger,"When my boss cut off my vacations saying that in that month it wouldn't be possible, and after some time he let another girl take vacations that month. The anger was because of the resentment. Resulting from our bad relationship.",1
101002,1,10,2,2,18,2,2,8,8,9,3,4,4,4,2,0,0,1,0,0,0,0,1,1,1,3,3,3,3,5,1,3,1,3,0,1010023,4,4,anger,"When one teacher unjustly gave me zero in a test saying that I was cribbing.",1
101001,1,10,1,2,23,2,2,7,1,3,3,4,3,4,2,0,2,1,-1,0,0,0,1,1,1,3,3,3,3,1,2,1,0,3,0,1010013,3,4,anger,"One day in a crossroad somebody crashed my car. I got out and this person laughed at me. I felt such a great anger that I got in my car and went away.",1
261061,1,26,61,1,24,4,1,7,1,1,3,4,3,2,1,0,0,0,-1,0,0,0,0,1,1,3,3,3,4,2,0,3,0,1,0,2610613,3,2,anger,"I missed an opportunity to go abroad because of some silly mistakes for which I had to suffer a lot.",1
91129,1,9,129,2,18,1,1,8,6,8,3,3,4,3,2,0,2,1,0,0,0,1,2,1,1,3,0,3,2,3,0,0,1,3,0,0911293,4,3,anger,"When a so-called friend let me down, when she promised to tell me when a certain concert was occurring, and that she'd get me tickets. I was really looking forward to it. She did nothing, just told me out of the blue one day what a fantastic concert it was going to be.",1
91128,1,9,128,2,18,2,1,6,6,8,3,4,3,4,3,1,0,1,0,0,0,1,2,2,1,3,3,3,3,5,3,1,1,3,1,0911283,3,4,anger,"After seeing an ""uncertain"" child work on a model for several hours, I watched a ""bully"" of the same age destroy it, telling the child that it was worthless.",1
261062,1,26,62,1,21,4,1,7,1,1,3,4,4,3,0,0,0,0,0,0,0,0,0,2,2,3,2,2,1,4,2,2,2,0,0,2610623,4,3,anger,When I got low marks in B.Sc final.,1
91127,1,9,127,2,18,2,2,8,1,8,3,2,4,4,3,1,2,2,1,0,0,1,0,2,2,3,2,3,2,1,3,1,1,2,1,0911273,4,4,anger,"My ex-boyfriend began to date my best friend. After they had been seeing each other, I found out that he had been sleeping with another girl, without my friend knowing, I told my friend what he had been doing behind her back.",1
261063,1,26,63,1,24,1,1,7,1,1,3,4,2,2,1,0,0,1,-1,0,1,0,0,2,1,3,0,3,1,4,2,1,2,1,1,2610633,2,2,anger,"This also happened when I was very small.  I was beaten up by my  mother for no fault of mine, I had just beaten up my younger brother for what I thought was his fault.  I was very angry with my mother.",1
91126,1,9,126,2,31,8,2,6,6,3,3,4,4,4,4,1,0,2,1,0,1,0,0,2,1,3,3,3,3,1,2,1,1,3,2,0911263,4,4,anger,"Anger at doctors for their treatment of me after giving birth. They left part of placenta behind and I bled heavily for twelve weeks - due to this, I felt weak and emotional, and they said I needed psychiatric treatment and give me no support.",1
101003,1,10,3,1,21,2,1,8,1,7,3,3,1,2,1,0,0,4,1,0,0,0,1,1,2,3,2,3,3,5,0,2,1,3,0,1010033,1,2,anger,"I went to the school library and asked for a book, but the librarian told me that there wasn't such. However when an other colleague asked for it she gave it to him.",1
261064,1,26,64,1,21,4,1,9,1,1,3,4,4,4,0,0,2,1,0,0,1,0,0,3,0,3,0,3,1,0,0,3,3,0,1,2610643,4,4,anger,"I was very angry when my friend lost my practical's journal, which I needed to study for the exams.",1
261059,1,26,59,1,22,4,1,0,1,1,3,3,3,2,0,0,0,0,0,0,0,0,0,1,2,3,0,1,4,3,0,0,0,0,0,2610593,3,2,anger,"I was most angry when India lost the Triangular Cricket trophy held in Australia.  I was so angry that I fought (orally) with my friend.",1
91123,1,9,123,2,20,7,2,8,1,6,3,3,3,3,3,0,2,1,0,0,0,1,1,2,2,2,1,1,2,3,3,2,1,3,0,0911233,3,3,anger,"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began. Prior to this, she had said nothing.",1
261065,1,26,65,1,21,4,1,7,7,1,3,3,3,3,0,0,2,0,0,0,0,0,0,3,2,3,0,0,1,3,0,1,1,0,0,2610653,3,3,anger,"When I was teased by my friend for not scoring good marks in the exams.",1
91121,1,9,121,1,28,8,1,7,7,3,3,4,4,4,3,1,2,1,-1,0,1,1,2,3,1,3,3,3,3,3,3,1,1,1,2,0911213,4,4,anger,"As a child - about 8 years old - walking across a paddock - being set upon by another boy who claimed it was ""his land"" - being intimidated by the boy - crying, being punched, etc.",1
261066,1,26,66,1,24,4,1,2,0,1,3,3,4,4,2,1,0,0,-1,0,0,0,0,1,2,3,2,3,3,2,3,1,2,0,1,2610663,4,4,anger,"I wanted to go to Bhopal for relief work (gas tragedy).  My boss simply refused to let me go, I was so angry that the only thought that came to my mind was to quit the job.",1
91120,1,9,120,1,28,2,2,6,1,3,3,1,2,2,0,0,0,1,0,0,0,0,0,2,1,3,3,2,2,1,2,2,1,0,0,0911203,2,2,anger,"I was angry at a University tutorial when an ignorant loudmouth persisted in trying to dominate the conversation.",1
91119,1,9,119,2,21,1,1,7,7,6,3,3,4,4,3,0,2,2,-1,0,0,0,0,2,1,3,3,0,1,3,1,1,1,0,0,0911193,4,4,anger,With self at losing an important game that I should have won.,1
261067,1,26,67,1,21,1,1,9,1,1,3,2,1,2,1,0,2,1,-1,0,0,0,1,2,1,3,3,0,3,5,0,2,2,1,0,2610673,1,2,anger,"I was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile, non co-operative guests.  I felt frustation - bordering on anger.",1
121043,1,12,43,1,22,7,2,6,6,1,3,4,3,4,2,1,0,3,0,1,0,1,1,2,1,3,3,3,3,5,3,3,1,1,1,1210433,3,4,anger,An unjust calumny concerning me.,1
121042,1,12,42,1,24,8,2,7,7,1,3,4,4,4,4,1,0,1,0,0,0,1,1,1,1,3,0,3,2,5,3,3,1,0,1,1210423,4,4,anger,My grandfather's funeral.,1
261068,1,26,68,1,22,4,1,0,0,1,3,4,4,4,2,0,0,2,1,0,0,1,1,1,1,3,2,3,4,4,3,3,3,0,0,2610683,4,4,anger,"[ When bad and disgusting language is uttered by people, or when someone tries to show what is beyond his own capacities.]",1
91125,1,9,125,2,18,1,2,4,4,8,3,1,2,2,0,0,2,1,0,0,0,0,0,2,1,0,0,0,1,5,0,1,2,0,0,0911253,2,2,anger,"My flatmate was asking questions about my relationship with my boyfriend, whether I wasn't treating him as unfairly as I claimed he'd been treating me. As a result, I was angered, and became defensive.",1
101010,1,10,10,2,19,2,2,6,1,2,3,4,3,4,1,0,0,1,0,0,0,0,1,1,1,3,3,3,0,3,3,2,0,0,0,1010103,3,4,anger,When they stole my dark blue tennis.,1
101061,1,10,61,2,22,1,1,7,1,2,3,1,3,3,2,2,0,3,-1,0,0,0,3,2,1,3,1,3,3,5,2,0,0,3,2,1010613,3,3,anger,"Discussing with a certain person about a job I was getting and that perosn was negative and pessimistic.",1
101019,1,10,19,2,20,2,1,6,1,7,3,1,3,2,3,0,0,2,-1,1,0,0,0,2,1,3,2,3,2,3,1,2,1,0,0,1010193,3,2,anger,"When a person is privileged in account of situations that are unjust, and disloyal to colleagues and friends.",1
171026,1,17,26,1,21,2,2,4,1,1,3,2,4,4,4,0,2,1,-1,0,1,0,0,1,2,3,0,2,3,4,1,3,0,1,1,1710263,4,4,anger,"When a teacher tells a story which isn't true. It only reflects his way of interpreting reality.",1
101018,1,10,18,2,22,2,0,8,1,9,3,2,1,2,0,0,0,1,0,0,0,0,1,2,2,3,0,3,2,3,3,0,3,0,0,1010183,1,2,anger,"When I used to go to my chief asking about any doubt about the job and he didn't care, didn't answer me, leaving me speaking alone.",1
271082,1,27,82,2,19,1,1,5,1,8,3,3,3,3,3,1,2,2,0,0,1,1,1,1,1,3,3,3,2,1,3,3,2,0,2,2710823,3,3,anger,"We were just about to go into the Exam room and I didn't see all my writing materials plus the identification card from the place where I left them.",1
101017,1,10,17,2,24,2,2,6,1,7,3,4,4,3,4,1,2,3,0,0,1,0,1,1,1,3,3,3,3,5,1,1,3,3,2,1010173,4,3,anger,"The fact that I hadn't been informed about something and I had the greatest trust in this person.",1
101015,1,10,15,1,30,8,0,8,1,2,3,3,3,3,3,0,2,1,0,0,0,1,1,1,2,3,0,1,3,1,2,0,1,0,0,1010153,3,3,anger,"Nearby the end of the year my wife and I were having a car ride, when it appears another vehicle, driven by a drunk driver and provokes an accident.",1
301028,1,30,28,2,21,8,0,7,6,8,3,2,2,4,3,0,2,2,1,0,0,1,0,1,1,3,3,3,3,5,2,3,3,3,0,3010283,2,4,anger,An old lady slipped and nobody helped her.,1
101014,1,10,14,1,28,2,2,4,1,2,3,3,4,3,0,0,0,1,0,1,0,0,0,3,1,3,3,3,2,3,3,3,2,0,0,1010143,4,3,anger,"About the car (sadness) I felt anger the way I acted after negotiating it.",1
101012,1,10,12,1,19,2,1,6,7,9,3,3,1,4,2,0,0,1,1,0,0,1,1,2,1,3,2,3,3,1,2,2,2,0,0,1010123,1,4,anger,"I'm crazy about football. When my team lost a goal in the Paulist championship, and so it lost the classifications.",1
261060,1,26,60,1,20,4,1,9,1,1,3,3,3,3,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,3,0,0,1,3,0,2610603,3,3,anger,"When my neighbours accused my brother of stealing their rose-bush, I was very angry as he had not touched it at all.",1
101011,1,10,11,2,18,2,2,7,1,9,3,1,2,2,0,0,0,1,0,0,0,0,0,1,2,3,2,1,2,5,1,2,1,1,0,1010113,2,2,anger,"I felt anger of a friend when she met ""a date"" and become nervous and pest as she always gets when she meets him.",1
271024,1,27,24,1,23,2,1,8,1,8,3,4,4,4,1,1,0,3,0,0,1,0,0,2,1,3,3,3,2,5,2,1,2,2,2,2710243,4,4,anger,"It happened that my brother promised to give me money for school and then he told me that he had failed to fulfil his promise a day before school started. I became so angry for I thought my future would be ruined.",1
301030,1,30,30,1,22,8,0,7,7,8,3,1,4,4,3,0,2,2,1,0,0,0,0,1,1,3,3,3,3,1,2,2,2,3,0,3010303,4,4,anger,"My class leader told me I am not chosen for your English lectures.",1
101009,1,10,9,2,23,8,0,9,9,2,3,1,4,3,3,1,2,2,0,0,0,1,2,1,2,3,3,3,3,1,1,1,1,3,1,1010093,4,3,anger,"When they denied a job to a person that I propsed giving political reasons that has nothing to do directly with the professional level.",1
301031,1,30,31,2,20,8,0,4,4,1,3,3,2,2,1,0,0,0,1,0,0,0,0,2,2,2,2,3,3,5,2,2,2,2,0,3010313,2,2,anger,People not cueing in the dining hall.,1
101008,1,10,8,2,18,2,2,8,8,2,3,1,2,3,1,0,2,2,0,1,1,1,1,3,0,3,3,2,3,3,2,2,0,0,1,1010083,2,3,anger,I feel anger when things don't come out as I wish.,1
101007,1,10,7,2,18,2,2,7,4,2,3,2,4,4,3,1,-1,4,1,0,0,1,2,2,2,3,0,3,2,3,3,3,1,3,1,1010073,4,4,anger,"I felt anger when I had a fight with my father, and he beated me. My mother came to help me (because I was beeing beated) and he also beated my mother.",1
301032,1,30,32,1,22,8,0,6,4,8,3,1,1,4,3,0,2,2,1,0,0,1,0,1,1,3,3,3,2,5,1,3,3,3,0,3010323,1,4,anger,"A classmate told me I must have bribed the class leader to let me go to your English lecture.",1
101006,1,10,6,2,20,2,2,7,6,9,3,3,3,3,1,0,0,0,0,0,0,0,1,2,1,3,2,3,1,1,2,1,1,0,0,1010063,3,3,anger,"This feeling occurred to me when my colleague entered in G.V. (University) and I didn't.",1
101005,1,10,5,2,28,2,1,9,7,6,3,3,4,3,2,0,2,1,0,0,0,0,0,1,2,3,2,3,2,3,2,1,1,1,0,1010053,4,3,anger,When they changed my office to another room without my agreement.,1
301033,1,30,33,2,21,8,0,4,4,1,3,3,3,2,1,0,0,0,0,0,0,0,0,3,2,3,2,2,2,2,2,1,1,0,0,3010333,3,2,anger,Insulted by some stupid people.,1
101004,1,10,4,2,19,2,1,6,1,2,3,2,3,2,0,1,0,2,-1,0,1,0,0,1,1,3,3,3,3,4,0,2,1,3,2,1010043,3,2,anger,I feel anger when somebody forbids me to do something.,1
301029,1,30,29,1,19,5,2,4,4,1,3,1,2,4,3,0,2,1,1,0,0,0,0,1,1,3,1,2,2,5,2,3,2,3,0,3010293,2,4,anger,Insulted by disgusting people.,1
121057,1,12,57,1,26,8,2,5,5,1,3,3,4,4,1,1,0,1,0,0,1,0,0,2,1,3,3,3,3,4,0,1,1,0,2,1210573,4,4,anger,"The doctors from Belogradchik town determined a wrong diagnosis to my son. A month later, after some complex examinations at ISUL (A medical institute in Sofia), the diagnosis was categorically rejected.",1
121064,1,12,64,2,24,7,2,2,6,1,3,3,1,3,2,1,2,3,0,0,1,0,2,1,2,3,3,3,2,2,2,1,1,3,2,1210643,1,3,anger,"When I encountered not only with my father's lack of understanding but also with his unwillingness to understand me as a parent, as far as things for which I (not he) have proves to be right are concerned.",1
121063,1,12,63,1,23,8,2,7,7,1,3,2,4,4,3,0,0,0,0,0,0,0,2,1,1,3,3,3,3,5,3,3,1,3,0,1210633,4,4,anger,"About a month ago the Regional Council refused to pay my wife the due maternity benefit, because of bureaucratic reasons.",1
261005,1,26,5,2,21,4,1,9,1,1,3,4,4,4,2,0,2,2,0,0,0,1,1,0,2,3,0,3,3,5,0,0,0,0,0,2610053,4,4,anger,"I was walking on a street alone in the afternoon when there were not too many people on the street.  A couple of guys were following me and I was ignoring them.  Suddenly one of them came in front of me and started using dirty language and harrassing me.  I got very angry and wanted to strike back at them.",1
121062,1,12,62,1,23,8,2,5,5,1,3,3,4,3,1,0,0,1,0,0,0,0,0,3,3,3,3,3,3,4,3,1,1,0,0,1210623,4,3,anger,I was neglected undeservedly.,1
